onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
132.374	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.801	orange	3.0	task_switch	magnitude	switch	s603	0
134.481	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.812	orange	7.0	task_switch	color	switch	s603	0
137.663	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	1.278	orange	4.0	cue_stay	color	stay	s603	0
139.905	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.973	orange	3.0	task_switch	magnitude	switch	s603	0
142.812	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.773	blue	9.0	cue_switch	magnitude	stay	s603	0
145.462	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.758	orange	3.0	task_switch	color	switch	s603	0
148.64	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	0.604	orange	8.0	cue_stay	color	stay	s603	0
151.82	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	1.14	orange	8.0	cue_switch	color	stay	s603	0
153.926	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.871	orange	7.0	cue_stay	color	stay	s603	0
156.032	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.462	blue	8.0	task_switch	magnitude	switch	s603	0
159.078	1.0	0.9	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.947	orange	7.0	task_switch	color	switch	s603	0
161.982	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.745	blue	7.0	cue_switch	color	stay	s603	0
165.021	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	1.079	orange	7.0	task_switch	magnitude	switch	s603	0
167.401	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	1.181	orange	4.0	task_switch	color	switch	s603	0
170.442	1.0	0.9	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.702	blue	1.0	cue_stay	color	stay	s603	0
172.822	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.706	orange	3.0	task_switch	magnitude	switch	s603	0
175.729	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	1.233	orange	7.0	cue_stay	magnitude	stay	s603	0
179.449	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.571	blue	1.0	cue_switch	magnitude	stay	s603	0
181.964	1.0	0.1	True	89.0	High-Low	stay	twobytwo	89.0	0.696	blue	1.0	cue_stay	magnitude	stay	s603	0
184.075	1.0	0.1	True	89.0	High-Low	stay	twobytwo	89.0	0.758	orange	3.0	cue_stay	magnitude	stay	s603	0
187.524	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.868	blue	8.0	task_switch	color	switch	s603	0
190.566	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	1.26	blue	3.0	task_switch	magnitude	switch	s603	0
193.473	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.576	orange	4.0	cue_stay	magnitude	stay	s603	0
195.582	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.805	blue	7.0	cue_switch	magnitude	stay	s603	0
197.822	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.79	orange	8.0	cue_stay	magnitude	stay	s603	0
200.864	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.493	orange	8.0	task_switch	color	switch	s603	0
204.042	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.776	orange	2.0	cue_switch	color	stay	s603	0
208.175	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.571	blue	1.0	cue_switch	color	stay	s603	0
210.284	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.906	blue	4.0	task_switch	magnitude	switch	s603	0
212.39	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	1.2	blue	8.0	task_switch	color	switch	s603	0
215.566	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.848	orange	3.0	task_switch	magnitude	switch	s603	0
231.324	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.72	blue	4.0	cue_stay	magnitude	stay	s603	1
234.23	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.569	orange	7.0	task_switch	color	switch	s603	0
236.337	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.13	blue	6.0	task_switch	magnitude	switch	s603	0
238.441	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.748	orange	1.0	task_switch	color	switch	s603	0
242.033	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.96	orange	4.0	task_switch	magnitude	switch	s603	0
244.136	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.685	orange	7.0	cue_stay	magnitude	stay	s603	0
246.518	1.0	0.1	True	71.0	High-Low	switch	twobytwo	71.0	0.754	orange	8.0	cue_switch	magnitude	stay	s603	0
249.425	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.556	orange	2.0	cue_switch	magnitude	stay	s603	0
251.806	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.719	orange	1.0	task_switch	color	switch	s603	0
255.662	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.751	orange	9.0	task_switch	magnitude	switch	s603	0
257.767	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	1.469	orange	2.0	task_switch	color	switch	s603	0
260.678	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	1.06	orange	8.0	cue_switch	color	stay	s603	0
263.585	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.65	orange	3.0	task_switch	magnitude	switch	s603	0
265.694	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.254	orange	1.0	task_switch	color	switch	s603	0
267.937	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.721	blue	1.0	cue_switch	color	stay	s603	0
270.848	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.554	blue	1.0	task_switch	magnitude	switch	s603	0
272.955	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.961	orange	7.0	cue_switch	magnitude	stay	s603	0
275.062	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.884	orange	4.0	task_switch	color	switch	s603	0
278.244	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.524	orange	3.0	task_switch	magnitude	switch	s603	0
280.486	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	1.226	orange	6.0	cue_stay	magnitude	stay	s603	0
282.596	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.119	orange	1.0	task_switch	color	switch	s603	0
284.841	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.152	orange	1.0	task_switch	magnitude	switch	s603	0
288.564	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.69	orange	3.0	cue_stay	magnitude	stay	s603	0
291.077	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.88	orange	3.0	task_switch	color	switch	s603	0
293.988	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	1.08	orange	2.0	cue_switch	color	stay	s603	0
296.227	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.816	orange	7.0	cue_stay	color	stay	s603	0
298.468	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	1.231	blue	3.0	task_switch	magnitude	switch	s603	0
