onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
123.906728	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.726	stim	s643
126.013	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
126.52345600000001	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.709	stim	s643
128.63	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
129.141728	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.661	stim	s643
131.249	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
131.761	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.679	stim	s643
133.863	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
134.372592	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.535	stim	s643
136.478	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
136.991	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.487	stim	s643
139.096	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
139.608	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.492	stim	s643
141.714	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
142.226456	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.567	stim	s643
144.331	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
