onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
573.57	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.805	89.0	False	noncrit_signal	s604
575.926	0.85	0.25	71.0	motor_selective_stop_signal	71.0	1.293	89.0	False	noncrit_nosignal	s604
578.38	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.362	89.0	False	noncrit_signal	s604
580.736	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.558	89.0	False	crit_stop_failure	s604
582.988	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.471	89.0	False	crit_go	s604
585.245	0.85	0.2	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
587.501	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.5	89.0	False	crit_go	s604
589.758	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
592.112	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.429	89.0	False	noncrit_nosignal	s604
595.467	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.342	89.0	False	noncrit_nosignal	s604
598.023	0.85	0.3	89.0	motor_selective_stop_signal	71.0	0.566	89.0	False	crit_stop_failure	s604
600.777	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.667	89.0	False	crit_go	s604
603.533	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.674	89.0	False	crit_go	s604
606.189	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
608.645	0.85	0.3	89.0	motor_selective_stop_signal	71.0	0.352	89.0	False	crit_go	s604
610.901	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.477	89.0	False	crit_go	s604
613.256	0.85	0.3	89.0	motor_selective_stop_signal	71.0	0.786	89.0	False	crit_go	s604
615.71	0.85	0.3	89.0	motor_selective_stop_signal	71.0	0.416	89.0	False	crit_go	s604
618.766	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.629	89.0	False	noncrit_nosignal	s604
621.123	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.39	89.0	False	noncrit_signal	s604
623.379	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.403	89.0	False	crit_go	s604
625.733	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.526	89.0	False	noncrit_nosignal	s604
628.089	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.445	89.0	False	noncrit_nosignal	s604
630.442	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.374	89.0	False	noncrit_signal	s604
632.798	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.606	89.0	False	crit_go	s604
635.152	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.564	89.0	False	crit_go	s604
637.409	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.434	89.0	False	crit_stop_failure	s604
639.762	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.481	89.0	False	noncrit_nosignal	s604
642.219	0.85	0.25	71.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	noncrit_nosignal	s604
644.575	0.85	0.25	89.0	motor_selective_stop_signal	71.0	0.624	89.0	False	crit_go	s604
647.426	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.86	89.0	False	crit_go	s604
649.981	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.497	89.0	False	crit_go	s604
